"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00200220","2008-06-11","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   56",",,0,0830","    0",",,0","    0",",,0","  250",",,0","  139",",,0",,,"  222",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-12","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  300",",,0","  172",",,0",,,"  228",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-13","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   81",",,0,0830","    0",",,0","    0",",,0","  289",",,0","  206",",,0",,,"  211",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-06-14","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   66",",,0,0830","    0",",,0","    0",",,0","  278",",,0","  167",",,0",,,"  206",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-06-15","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   13",",,0,0830","    0",",,0","    0",",,0","  272",",,0","  144",",,0",,,"  217",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-06-16","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   15",",,0,0830","    0",",,0","    0",",,0","  278",",,0","  156",",,0",,,"  206",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-06-17","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  217",",,0","  100",",,0",,,"  150",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-18","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  206",",,0","  122",",,0",,,"  133",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-19","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  167",",,0","   89",",,0",,,"  139",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-20","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  228",",,0","  106",",,0",,,"  200",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-02","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US",,,,,,,"  300",",,0","   89",",,0","  381",",,0","  194",",,0,0830",,,,,"    1",",,0",,,,,,,"    1",",,0"
"USC00200220","2008-07-03","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  272",",,0","  156",",,0",,,"  161",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-04","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  217",",,0","   83",",,0",,,"  167",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-05","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  233",",,0","   89",",,0",,,"  189",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-06","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  256",",,0","  106",",,0",,,"  200",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-07","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  272",",,0","  172",",,0",,,"  211",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-08","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   25",",,0,0830","    0",",,0","    0",",,0","  300",",,0","  200",",,0",,,"  228",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-09","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   30",",,0,0830","    0",",,0","    0",",,0","  272",",,0","  206",",,0",,,"  228",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-07-10","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  267",",,0","  128",",,0",,,"  206",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-07-31","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0","P,,0,0830","    0","P,,0","    0","P,,0",,,,,,,,,,,,,,,,,,,,,,
"USC00200220","2008-08-01","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   81",",,0,0830","    0",",,0",,,"  317",",,0","  100",",,0",,,"  228",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-02","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  306",",,0","  178",",,0",,,"  194",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-03","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  272",",,0","  133",",,0",,,"  217",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-04","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  289",",,0","  172",",,0",,,"  239",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-05","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   13",",,0,0830","    0",",,0","    0",",,0","  283",",,0","  217",",,0",,,"  244",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-06","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    5",",,0,0830","    0",",,0","    0",",,0","  300",",,0","  183",",,0",,,"  222",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-07","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  294",",,0","  156",",,0",,,"  189",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-08","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   84",",,0,0830","    0",",,0","    0",",,0","  267",",,0","  128",",,0",,,"  167",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-08-09","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  217",",,0","  122",",,0",,,"  183",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-10","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    5",",,0,0830","    0",",,0","    0",",,0","  250",",,0","   89",",,0",,,"  139",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-11","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   20",",,0,0830","    0",",,0","    0",",,0","  211",",,0","  128",",,0",,,"  156",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-12","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  239",",,0","  117",",,0",,,"  200",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-13","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  272",",,0","  161",",,0",,,"  183",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-14","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  250",",,0","  133",",,0",,,"  189",",,0,0830",,,,,,,,,,,,,,
