"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00200842","2001-12-08","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  111",",,0","   17",",,0",,,,,,,"   28",",,0,0700",,
"USC00200842","2001-12-09","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   78",",,0","  -17",",,0",,,,,,,"   22",",,0,0700",,
"USC00200842","2001-12-10","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   56",",,0","  -39",",,0",,,,,,,"  -33",",,0,0700",,
"USC00200842","2001-12-11","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   83",",,0","  -39",",,0",,,,,,,"    6",",,0,0700",,
"USC00200842","2001-12-12","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   83",",,0","  -39",",,0",,,,,,,"    6",",,0,0700",,
"USC00200842","2001-12-13","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   69",",,0,0700","    0","P,,0","    0","P,,0","  100",",,0","    6",",,0",,,,,,,"  100",",,0,0700",,
"USC00200842","2001-12-14","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  106",",,0","   56",",,0",,,,,,,"   56",",,0,0700",,
"USC00200842","2001-12-15","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  183",",,0,0700","    0","P,,0","    0","P,,0","   56",",,0","   11",",,0",,,,,,,"   11",",,0,0700",,
"USC00200842","2001-12-16","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    3",",,0,0700","    0","P,,0","    0","P,,0","   67",",,0","    0",",,0",,,,,,,"   39",",,0,0700",,
"USC00200842","2001-12-17","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  188",",,0,0700","    0","P,,0","    0","P,,0","   56",",,0","   33",",,0",,,,,,,"   50",",,0,0700",,
"USC00200842","2001-12-18","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   38",",,0,0700","    0","P,,0","    0","P,,0","   67",",,0","   33",",,0",,,,,,,"   33",",,0,0700",,
